clip_id,genre,genre_id,track_path,track_name,clip_path,start_sec,end_sec,duration_sec,segment_idx,track_idx,lyrics_text,lyrics_status,split
blues_000_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_0.wav,0.0,10.0,10.0,0,0,"One brother, one God, and one bill, and the end of the bartender.",ok,train
blues_000_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_1.wav,10.0,20.0,10.0,1,0,"Come here. I want another break and I want it a night. My feelings are gone, so then I'll do night. I am sick.",ok,train
blues_000_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_2.wav,20.0,30.0,10.0,2,0,"My baby's so not a fuller A one, a one, a one, a one, a one, a one, a God A one, a one, a one",ok,train
blues_001_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_0.wav,0.0,10.0,10.0,0,1,"Baby, I'm in a move alone.",ok,test
blues_001_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_1.wav,10.0,20.0,10.0,1,1,"I said, night time at the right time To be with the one you know",ok,test
blues_001_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_2.wav,20.0,30.0,10.0,2,1,"And they come baby, God knows you so far away, I'm in a mood, I'm in a mood.",ok,test
blues_002_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_0.wav,0.0,10.0,10.0,0,2,ДИНАМИЧНАЯ МУЗЫКА,ok,train
blues_002_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_1.wav,10.0,20.0,10.0,1,2,Then I know you paid your dues Then you need me when I need you Then you know you stay in a queue,ok,train
blues_002_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_2.wav,20.0,30.0,10.0,2,2,[NO_LYRICS],empty,train
blues_003_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_0.wav,0.0,10.0,10.0,0,3,[NO_LYRICS],empty,train
blues_003_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_1.wav,10.0,20.0,10.0,1,3,I'm bad Like just a jane,ok,train
blues_003_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_2.wav,20.0,30.0,10.0,2,3,"I had a free one time, leave the thought out I did.",ok,train
blues_004_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_0.wav,0.0,10.0,10.0,0,4,Além que é o dito não Além que é o dito não Além que é o dito não,ok,val
blues_004_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_1.wav,10.0,20.0,10.0,1,4,"Well, I'm breaking the towel.",ok,val
blues_004_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_2.wav,20.0,30.0,10.0,2,4,"I'm walking down, walking with you. Do you remember my I'm talking about?",ok,val
blues_005_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_0.wav,0.0,10.0,10.0,0,5,"Bring my brazer lady sugar, sugar mama.",ok,train
blues_005_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_1.wav,10.0,20.0,10.0,1,5,Shilamamir is Mamirin,ok,train
blues_005_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_2.wav,20.0,30.0,10.0,2,5,"If I'm bragging about you, I'll still go to my home.",ok,train
blues_006_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00006.wav,blues.00006,/Users/ashfaquesami/425_project/data/clips_10s/blues_006_0.wav,0.0,10.0,10.0,0,6,"Mom, be with love me, he's morning",ok,train
blues_006_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00006.wav,blues.00006,/Users/ashfaquesami/425_project/data/clips_10s/blues_006_1.wav,10.0,20.0,10.0,1,6,People just around for a club. She let me dream and dream it.,ok,train
blues_006_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00006.wav,blues.00006,/Users/ashfaquesami/425_project/data/clips_10s/blues_006_2.wav,20.0,30.0,10.0,2,6,People that I will go try and...,ok,train
blues_007_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00007.wav,blues.00007,/Users/ashfaquesami/425_project/data/clips_10s/blues_007_0.wav,0.0,10.0,10.0,0,7,I'm not home in the room around my bag. You never watch it.,ok,train
blues_007_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00007.wav,blues.00007,/Users/ashfaquesami/425_project/data/clips_10s/blues_007_1.wav,10.0,20.0,10.0,1,7,"There's a root in our men A lot of wow, root There, no more",ok,train
