experiment_name,model,representation,clustering_algo,split,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise,ari,nmi,purity,latent_dim,multimodal
baseline_pca_kmeans,PCA+KMeans,mfcc_pca,kmeans,test,0.1567679494619369,39.89884185791016,1.7925519728484942,10,0,0.2951190715197054,0.5175799785667954,0.5016501650165016,,
baseline_direct_kmeans,DirectKMeans,mfcc_raw,kmeans,test,0.1567679047584533,39.898826599121094,1.7925522935274807,10,0,0.2951190715197054,0.5175799785667954,0.5016501650165016,,
baseline_ae_kmeans,AE+KMeans,ae_latent,kmeans,test,0.2075382322072982,60.26459503173828,1.4948750055275069,10,0,0.2717332396333271,0.4941073329369909,0.4884488448844885,16.0,
baseline_spectral,SpectralClustering,mfcc_raw,spectral,test,0.1312552541494369,36.220916748046875,1.8258998701533131,10,0,0.3121462051868485,0.5403543321040434,0.5742574257425742,,
baseline_pca_kmeans,PCA+KMeans,mfcc_pca,kmeans,test,0.1567679494619369,39.89884185791016,1.7925519728484942,10,0,0.2951190715197054,0.5175799785667954,0.5016501650165016,,
baseline_direct_kmeans,DirectKMeans,mfcc_raw,kmeans,test,0.1567679047584533,39.898826599121094,1.7925522935274807,10,0,0.2951190715197054,0.5175799785667954,0.5016501650165016,,
baseline_ae_kmeans,AE+KMeans,ae_latent,kmeans,test,0.2075382322072982,60.26459503173828,1.4948750055275069,10,0,0.2717332396333271,0.4941073329369909,0.4884488448844885,16.0,
baseline_spectral,SpectralClustering,mfcc_raw,spectral,test,0.1312552541494369,36.220916748046875,1.8258998701533131,10,0,0.3121462051868485,0.5403543321040434,0.5742574257425742,,
vae_mlp_kmeans,MLP-VAE,vae_latent,kmeans,test,0.2589367628097534,82.22164154052734,1.3577582371745107,10,0,0.3863404714368231,0.5830815944447856,0.6072607260726073,16.0,
vae_conv_kmeans,Conv-VAE,conv_vae_audio_lyrics,kmeans,test,0.0148794649803625,5.99355848545645,2.20571318881868,10,0,0.0574823772348785,0.1834108869492063,0.231023102310231,16.0,True
vae_conv_agglomerative,Conv-VAE,conv_vae_audio_lyrics,agglomerative,test,0.0172927296558067,5.084216562721312,2.8890704678293817,10,0,0.0005157508020722,0.102594665956714,0.2013201320132013,16.0,True
cvae_kmeans,CVAE,cvae_audio_lyrics_genre,kmeans,test,-0.0752877810019152,17.28422399915744,2.345306258875925,10,0,0.2000254997817674,0.399599940829807,0.3432343234323432,16.0,
cvae_agglomerative,CVAE,cvae_audio_lyrics_genre,agglomerative,test,-0.06420625301404957,8.776487258117328,3.0087183105777004,10,0,0.09375257128033107,0.26253673930728366,0.31683168316831684,16.0,
